Ekran Boyutu,Ekran KartÄ±,Ekran Kartı,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Garanti Tipi,Hard Disk Kapasitesi,KullanÄ±m AmacÄ±,Kullanım Amacı,Ram (Sistem BelleÄŸi),Ram (Sistem Belleği),SSD Kapasitesi,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ä°ÅŸlemci Tipi,Ä°ÅŸletim Sistemi,Çözünürlük,İşlemci Tipi,İşletim Sistemi,url,price
"15,6 inç",,Nvidia GeForce RTX 3050,,144 Hz,,,,,,16 GB,500 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//casper/excalibur-g770-1245-bvj0x-b-intel-core-i5-12450h-16gb-ram-500gb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975657?advertItems=eyJhZHZlcnRJZCI6Ijk4M2IzNThlLWUwNDMtNDVhZS04ZDFhLTNhYTg1OTg3Y2Q4MCIsInNvcnRpbmdTY29yZSI6MC4xMDUzNDMwNDQ0NTIzNjkyMSwiYWRTY29yZSI6MC4wNDgzNjY4NzA3MzExMTUzNCwiYWRTY29yZXMiOnsiMSI6MC4wNDgzNjY4NzA3MzExMTUzNCwiMiI6MC4wNDgzNjY4NzA3MzExMTUzNH0sImNwYyI6Mi4xNzgsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi4wMjEyNjY1NTQzMjQxNTQsImFkdmVydFNsb3QiOjgsIm9yZGVyIjo3LCJhdHRyaWJ1dGVzIjoiIn0=,24.999 TL
"15,6 inç",,Intel UHD Graphics,,,Resmi Distribütör Garantili,256 GB,,,,4 GB,256 GB,,,,,Intel Core i3,Windows,https://www.trendyol.com//asus/intel-core-i3-1115g4-4gb-ram-256gb-ssd-15-6-fhd-windows-11-gri-laptop-x515ea-bq868w-p-356470217,9.019 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//huawei/matebook-d15-i5-1155g7-islemci-8gb-ram-512gb-ssd-15-6-inc-win-11-laptop-mistik-gumus-p-654281247,16.749 TL
"15,6 inç",,Intel UHD Graphics,,,,,,Ofis - İş,,8 GB,512 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//asus/vivobook-15-intel-core-i5-1235u-8gb-512gb-ssd-15-6-fhd-ips-dos-lacivert-laptop-x1504za-bq322-p-762266568,13.496 TL
"15,6 inç",,Intel Iris Graphics,,,,,,Ofis - İş,,16 GB,500 GB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//casper/nirvana-x600-139h-bv00x-g-f-intel-core-i7-11390h-16-gb-ram-500gb-nvme-ssd-gen4-freedos-p-773800333?advertItems=eyJhZHZlcnRJZCI6IjdkMmE3Yzk0LTMyMzUtNDA0MS1hMGRmLTIzNDAzYTYyZDIxNCIsInNvcnRpbmdTY29yZSI6MC4wOTY3OTQ5OTc1MTMyOTQyMywiYWRTY29yZSI6MC4wNDE1MDcyODg4MTM1OTEsImFkU2NvcmVzIjp7IjEiOjAuMDQxNTA3Mjg4ODEzNTkxLCIyIjowLjA0MTUwNzI4ODgxMzU5MX0sImNwYyI6Mi4zMzIwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMzMyMDAwMDAwMDAwMDAwMywiYWR2ZXJ0U2xvdCI6OSwib3JkZXIiOjExLCJhdHRyaWJ1dGVzIjoiIn0=,"14.955,05 TL"
"15,6 inç",,Dahili Ekran Kartı,,,Resmi Distribütör Garantili,,,,,16 GB,512 GB,,,,1920 x 1080,AMD Ryzen 5,Free Dos,https://www.trendyol.com//lenovo/nb-v15-ryzen-5-7520u-16gb-512ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82yu00qytx-p-742133243,"11.574,84 TL"
"15,6 inÃ§",Nvidia GeForce RTX 4060,,144 Hz,,,,,,16 GB,,512 GB,1920 x 1080,AMD Ryzen 7,Free Dos,,,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nv-lp038-amd-ryzen-7-7735hs-16gb-ddr5-512gb-ssd-8gb-rtx4060-15-6-144hz-dos-p-714314500,43.220 TL
"15,6 inç",,Nvidia GeForce RTX 3050,,144 Hz,,,,,,16 GB,512 GB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-p-760924099,30.500 TL
16 inç,,Nvidia GeForce RTX 4070,,165 Hz,,,,,,64 GB,2 TB,,,,2560 x 1600,Intel Core i9,Free Dos,https://www.trendyol.com//casper/excalibur-g911-1390-ex70x-c-intel-core-i9-13900hx-64gb-ddr5-ram-2tb-nvme-ssd-8gb-rtx4070-freedos-p-672175511?advertItems=eyJhZHZlcnRJZCI6IjM5MTk1OWMzLWFkN2QtNGU3MC1hZGExLTVjMzkwM2M3ZThhNiIsInNvcnRpbmdTY29yZSI6MC4wOTY3MjM2OTM2NTM5NDExNSwiYWRTY29yZSI6MC4wMzExODEwNzQ2Nzg4OTc4NTgsImFkU2NvcmVzIjp7IjEiOjAuMDMxMTgxMDc0Njc4ODk3ODU4LCIyIjowLjAzMTE4MTA3NDY3ODg5Nzg1OH0sImNwYyI6My4xMDIsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi45NTQ2MjAwMzU2NTg1MTEsImFkdmVydFNsb3QiOjEwLCJvcmRlciI6MTUsImF0dHJpYnV0ZXMiOiIifQ==,66.099 TL
"15,6 inç",,AMD Radeon Graphics,,,,,,Ofis - İş,,16 GB,1 TB,,,,1920 x 1080,AMD Ryzen 7,Free Dos,https://www.trendyol.com//lenovo/ideapad-1-amd-ryzen-7-5700u-16gb-1tb-ssd-freedos-15-6-fhd-canta-hediye-p-781026611,15.299 TL
"15,6 inç",,Nvidia GeForce RTX 3050,,144 Hz,,,,,,16 GB,1 TB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//casper/excalibur-g770-1245-bfj0x-b-intel-core-i5-12450h-16gb-ram-1tb-ssd-gen4-4gb-rtx3050-freedos-p-356606061,26.299 TL
"15,6 inç",,Nvidia GeForce RTX 4060,,144 Hz,,,,,,32 GB,1 TB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1265-dqb0x-b-intel-core-i7-12650h-32gb-1tb-nvme-rtx4060-fdos-p-776821201,35.999 TL
16 inÃ§,Nvidia GeForce RTX 3050,,165 Hz,,,,,,16 GB,,512 GB,1920 x 1200,AMD Ryzen 5,Free Dos,,,,https://www.trendyol.com//lenovo/ip-gaming-3-amd-ryzen-5-6600h-16gb-512gb-rtx3050-16-wuxga-165hz-gaming-notebook-82sc0098tx-p-780224610,23.999 TL
"16,1 inç",,Nvidia GeForce RTX 4050,,144 Hz,,,,,,16 GB,512 GB,,,,1920 x 1080,AMD Ryzen 5,Free Dos,https://www.trendyol.com//hp/victus-16-s0023nt-7z4n1ea-8gb-rtx4060-ryzen-5-7640hs-16gb-ram-512gb-ssd-16-1-inc-fhd-144hz-p-739046709,31.999 TL
"15,6 inç",,Nvidia GeForce RTX 4050,,144 Hz,,,,,,16 GB,1 TB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//hp/victus-15-fa1018nt-7n9u6ea-i7-13700h-16-gb-1tb-ssd-rtx4050-144hz-15-6-dos-fhd-dizustu-bilgisayar-p-670259353,38.999 TL
"15,6 inç",,Intel UHD Graphics 600,,,Resmi Distribütör Garantili,,,,,16 GB,1 TB,,,,1366 x 768,Intel Celeron,Free Dos,https://www.trendyol.com//asus/x515ma-br918a6-n4020-16gb-1tbssd-15-6-hd-freedos-tasinabilir-bilgisayar-p-700499490?advertItems=eyJhZHZlcnRJZCI6IjQwMDJmNTQ4LTRkODItNGVmZS04ODMwLWU0MTRjN2E0YjkzNSIsInNvcnRpbmdTY29yZSI6MC4wOTEyMTI5NjE3OTI5NDU4NywiYWRTY29yZSI6MC4wNDQ1ODExMTUyNDU4MTkwOSwiYWRTY29yZXMiOnsiMSI6MC4wNDQ1ODExMTUyNDU4MTkwOSwiMiI6MC4wNDQ1ODExMTUyNDU4MTkwOX0sImNwYyI6Mi4wNDYwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMDIyNjg5OTQ0MTkwNjYzNiwiYWR2ZXJ0U2xvdCI6MTIsIm9yZGVyIjoyMiwiYXR0cmlidXRlcyI6IiJ9,13.789 TL
"15,6 inç",,Nvidia GeForce RTX 3050,,144 Hz,,,,,,32 GB,1 TB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//monster/abra-a5-v20-1-2-intel-core-i5-13500h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-15-6-fhd-144-hz-p-736036073,28.999 TL
